iter	Passed	Remaining
0	1	194
1	3	175
2	4	159
3	6	151
4	7	147
5	9	143
6	10	143
7	12	140
8	13	137
9	15	137
10	16	135
11	18	132
12	19	130
13	20	128
14	22	129
15	24	126
16	25	124
17	27	123
18	28	123
19	30	121
20	32	121
21	33	120
22	35	118
23	37	117
24	38	115
25	40	113
26	41	113
27	43	112
28	44	110
29	46	108
30	48	107
31	49	104
32	50	103
33	53	102
34	54	101
35	55	99
36	57	98
37	59	96
38	61	95
39	62	93
40	64	92
41	64	89
42	66	87
43	68	86
44	70	85
45	71	84
46	73	82
47	74	81
48	76	79
49	78	78
50	80	77
51	81	75
52	83	74
53	85	72
54	86	70
55	87	69
56	89	67
57	90	65
58	92	64
59	94	62
60	95	61
61	97	59
62	98	57
63	100	56
64	103	55
65	104	54
66	106	52
67	108	50
68	109	49
69	110	47
70	112	45
71	113	44
72	115	42
73	117	41
74	118	39
75	119	37
76	121	36
77	122	34
78	124	33
79	126	31
80	128	30
81	129	28
82	131	26
83	132	25
84	134	23
85	135	22
86	137	20
87	139	18
88	140	17
89	142	15
90	144	14
91	146	12
92	148	11
93	149	9
94	151	7
95	152	6
96	154	4
97	156	3
98	158	1
99	160	0
