iter	Passed	Remaining
0	178	178364
1	185	92611
2	194	64782
3	197	49228
4	199	39779
5	201	33399
6	206	29261
7	209	25982
8	213	23498
9	216	21440
10	220	19789
11	221	18273
12	223	16996
13	227	16020
14	229	15088
15	233	14337
16	236	13657
17	237	12977
18	243	12557
19	246	12056
20	248	11600
21	250	11152
22	252	10724
23	254	10364
24	258	10077
25	259	9738
26	261	9418
27	263	9144
28	265	8881
29	267	8649
30	272	8512
31	274	8297
32	276	8097
33	278	7920
34	281	7759
35	283	7594
36	287	7477
37	289	7333
38	292	7200
39	294	7060
40	296	6935
41	299	6834
42	302	6732
43	304	6611
44	306	6506
45	309	6410
46	310	6304
47	314	6232
48	316	6147
49	320	6088
50	322	5998
51	325	5931
52	327	5859
53	330	5798
54	332	5719
55	334	5641
56	336	5569
57	339	5506
58	340	5434
59	342	5364
60	344	5310
61	347	5263
62	350	5211
63	353	5163
64	355	5111
65	357	5060
66	363	5055
67	365	5004
68	369	4982
69	371	4940
70	377	4943
71	379	4896
72	382	4853
73	384	4814
74	387	4775
75	391	4756
76	394	4732
77	397	4697
78	400	4664
79	402	4631
80	405	4598
81	410	4596
82	411	4551
83	414	4521
84	417	4494
85	423	4497
86	425	4468
87	429	4449
88	431	4421
89	434	4392
90	438	4382
91	441	4360
92	444	4331
93	456	4400
94	459	4373
95	461	4343
96	464	4322
97	467	4304
98	470	4283
99	473	4257
100	475	4229
101	477	4202
102	479	4174
103	481	4149
104	485	4141
105	488	4115
106	490	4094
107	494	4080
108	497	4066
109	501	4055
110	503	4033
111	505	4011
112	508	3989
113	512	3980
114	521	4013
115	524	3994
116	525	3969
117	530	3968
118	533	3949
119	536	3931
120	539	3919
121	541	3894
122	543	3872
123	546	3862
124	549	3847
125	552	3831
126	553	3807
127	557	3796
128	588	3970
129	590	3950
130	592	3933
131	595	3917
132	597	3898
133	600	3878
134	602	3859
135	604	3840
136	606	3821
137	609	3808
138	611	3790
139	613	3771
140	616	3754
141	617	3732
142	619	3715
143	624	3712
144	626	3695
145	628	3677
146	630	3660
147	633	3644
148	637	3642
149	640	3627
150	642	3611
151	644	3597
152	647	3582
153	649	3567
154	655	3573
155	658	3563
156	660	3547
157	662	3531
158	664	3515
159	666	3499
160	668	3485
161	674	3490
162	677	3478
163	679	3465
164	681	3450
165	688	3457
166	690	3444
167	692	3429
168	694	3414
169	696	3399
170	699	3390
171	701	3375
172	702	3360
173	705	3347
174	708	3338
175	710	3328
176	714	3322
177	717	3311
178	719	3298
179	720	3283
180	722	3271
181	725	3258
182	726	3244
183	730	3239
184	732	3228
185	734	3216
186	737	3207
187	740	3197
188	742	3184
189	746	3182
190	749	3173
191	752	3165
192	754	3152
193	755	3140
194	757	3127
195	760	3117
196	764	3114
197	768	3113
198	773	3112
199	781	3127
200	785	3122
201	788	3115
202	792	3112
203	796	3106
204	798	3095
205	800	3087
206	803	3078
207	806	3069
208	810	3069
209	813	3060
210	815	3048
211	816	3036
212	818	3024
213	822	3022
214	825	3013
215	827	3001
216	828	2991
217	830	2980
218	832	2970
219	834	2960
220	841	2966
221	843	2955
222	845	2945
223	848	2939
224	851	2931
225	853	2924
226	858	2924
227	861	2915
228	867	2922
229	872	2920
230	875	2914
231	878	2908
232	882	2904
233	891	2917
234	893	2909
235	897	2906
236	901	2902
237	904	2895
238	906	2886
239	908	2878
240	913	2877
241	917	2874
242	921	2869
243	923	2862
244	926	2856
245	929	2847
246	931	2839
247	934	2832
248	936	2823
249	938	2815
250	940	2806
251	942	2798
252	944	2790
253	949	2788
254	952	2782
255	954	2774
256	956	2765
257	958	2757
258	961	2749
259	964	2744
260	966	2736
261	968	2727
262	970	2719
263	974	2717
264	977	2711
265	979	2703
266	983	2698
267	985	2691
268	988	2686
269	990	2678
270	993	2672
271	997	2668
272	998	2660
273	1000	2652
274	1003	2644
275	1004	2635
276	1007	2628
277	1013	2631
278	1015	2623
279	1018	2619
280	1021	2613
281	1028	2618
282	1032	2615
283	1036	2612
284	1040	2611
285	1047	2615
286	1051	2611
287	1054	2606
288	1060	2608
289	1063	2602
290	1065	2596
291	1068	2590
292	1072	2587
293	1076	2584
294	1078	2577
295	1080	2570
296	1084	2566
297	1101	2594
298	1144	2683
299	1146	2676
300	1149	2668
301	1151	2660
302	1153	2654
303	1159	2653
304	1162	2649
305	1169	2652
306	1174	2651
307	1177	2645
308	1180	2639
309	1182	2632
310	1186	2629
311	1191	2626
312	1194	2621
313	1196	2613
314	1200	2611
315	1218	2636
316	1220	2630
317	1222	2622
318	1224	2614
319	1226	2606
320	1232	2607
321	1236	2604
322	1240	2600
323	1243	2594
324	1246	2588
325	1251	2587
326	1255	2583
327	1257	2576
328	1263	2577
329	1267	2573
330	1270	2567
331	1273	2561
332	1278	2561
333	1282	2557
334	1284	2549
335	1287	2544
336	1289	2537
337	1293	2533
338	1295	2526
339	1302	2528
340	1305	2522
341	1308	2517
342	1312	2513
343	1314	2507
344	1317	2501
345	1320	2495
346	1324	2492
347	1326	2485
348	1328	2478
349	1330	2471
350	1332	2464
351	1334	2457
352	1339	2454
353	1342	2449
354	1345	2444
355	1347	2437
356	1349	2429
357	1350	2422
358	1357	2423
359	1359	2417
360	1362	2412
361	1366	2407
362	1370	2405
363	1373	2399
364	1376	2394
365	1378	2388
366	1384	2387
367	1387	2382
368	1389	2375
369	1391	2369
370	1393	2362
371	1395	2355
372	1398	2350
373	1400	2344
374	1402	2337
375	1403	2329
376	1405	2322
377	1407	2316
378	1409	2309
379	1411	2302
380	1414	2297
381	1416	2292
382	1418	2285
383	1420	2278
384	1422	2271
385	1423	2264
386	1426	2258
387	1430	2256
388	1432	2249
389	1434	2243
390	1436	2237
391	1438	2231
392	1440	2224
393	1442	2218
394	1445	2214
395	1447	2207
396	1449	2201
397	1451	2195
398	1453	2189
399	1455	2183
400	1458	2178
401	1461	2173
402	1464	2169
403	1466	2163
404	1469	2158
405	1471	2152
406	1473	2147
407	1478	2145
408	1481	2141
409	1483	2135
410	1485	2128
411	1487	2122
412	1488	2116
413	1491	2111
414	1494	2106
415	1496	2101
416	1499	2095
417	1500	2089
418	1503	2084
419	1506	2079
420	1511	2078
421	1513	2073
422	1515	2067
423	1517	2061
424	1519	2056
425	1522	2051
426	1524	2046
427	1526	2040
428	1529	2035
429	1533	2032
430	1570	2072
431	1594	2096
432	1596	2090
433	1600	2086
434	1602	2081
435	1604	2075
436	1608	2072
437	1611	2068
438	1614	2063
439	1619	2061
440	1622	2057
441	1625	2052
442	1627	2046
443	1629	2040
444	1631	2035
445	1637	2034
446	1641	2030
447	1665	2051
448	1705	2092
449	1711	2091
450	1720	2094
451	1723	2089
452	1725	2083
453	1728	2078
454	1732	2074
455	1734	2069
456	1737	2064
457	1739	2058
458	1742	2053
459	1746	2049
460	1748	2043
461	1749	2037
462	1751	2031
463	1753	2025
464	1755	2019
465	1757	2014
466	1759	2008
467	1762	2003
468	1764	1997
469	1766	1991
470	1767	1985
471	1769	1979
472	1771	1973
473	1773	1967
474	1778	1965
475	1780	1960
476	1783	1955
477	1785	1949
478	1787	1944
479	1790	1939
480	1793	1935
481	1795	1929
482	1797	1923
483	1799	1918
484	1801	1913
485	1803	1907
486	1807	1903
487	1810	1899
488	1812	1894
489	1814	1888
490	1816	1883
491	1818	1877
492	1822	1873
493	1825	1869
494	1827	1864
495	1828	1858
496	1830	1852
497	1832	1847
498	1834	1841
499	1838	1838
500	1840	1833
501	1842	1827
502	1844	1822
503	1846	1817
504	1848	1811
505	1850	1806
506	1853	1802
507	1855	1797
508	1857	1792
509	1859	1786
510	1861	1781
511	1863	1775
512	1865	1771
513	1870	1768
514	1872	1763
515	1874	1758
516	1876	1752
517	1877	1747
518	1879	1742
519	1881	1736
520	1883	1731
521	1885	1726
522	1888	1721
523	1890	1717
524	1892	1712
525	1894	1707
526	1896	1701
527	1899	1698
528	1901	1693
529	1903	1688
530	1905	1683
531	1907	1678
532	1909	1673
533	1911	1667
534	1914	1663
535	1917	1659
536	1919	1654
537	1920	1649
538	1922	1644
539	1924	1639
540	1926	1634
541	1929	1630
542	1931	1625
543	1934	1621
544	1937	1617
545	1940	1613
546	1942	1609
547	1948	1607
548	1950	1602
549	1952	1597
550	1954	1592
551	1956	1587
552	1958	1583
553	1961	1578
554	1963	1574
555	1965	1569
556	1967	1564
557	1969	1560
558	1971	1555
559	1973	1550
560	1977	1547
561	1980	1543
562	1986	1542
563	1993	1541
564	1998	1538
565	2000	1534
566	2002	1529
567	2004	1524
568	2008	1521
569	2010	1516
570	2012	1511
571	2014	1507
572	2016	1503
573	2019	1498
574	2023	1495
575	2025	1490
576	2027	1486
577	2029	1481
578	2032	1477
579	2034	1473
580	2039	1470
581	2041	1466
582	2043	1461
583	2045	1457
584	2047	1452
585	2050	1448
586	2053	1444
587	2056	1441
588	2059	1436
589	2061	1432
590	2063	1428
591	2066	1424
592	2071	1421
593	2073	1417
594	2075	1412
595	2077	1408
596	2079	1403
597	2082	1399
598	2084	1395
599	2086	1390
600	2088	1386
601	2091	1382
602	2093	1378
603	2099	1376
604	2102	1372
605	2104	1368
606	2106	1363
607	2108	1359
608	2110	1354
609	2112	1350
610	2114	1346
611	2116	1341
612	2130	1344
613	2132	1340
614	2135	1336
615	2175	1356
616	2191	1360
617	2198	1358
618	2201	1355
619	2203	1350
620	2206	1346
621	2208	1342
622	2240	1355
623	2243	1352
624	2248	1349
625	2251	1344
626	2253	1340
627	2256	1336
628	2261	1333
629	2266	1331
630	2268	1326
631	2295	1336
632	2297	1332
633	2299	1327
634	2301	1323
635	2306	1319
636	2311	1317
637	2313	1312
638	2315	1308
639	2326	1308
640	2328	1304
641	2330	1299
642	2333	1295
643	2338	1292
644	2342	1289
645	2345	1285
646	2347	1280
647	2349	1276
648	2354	1273
649	2360	1271
650	2362	1266
651	2364	1262
652	2366	1257
653	2372	1255
654	2375	1250
655	2377	1246
656	2379	1242
657	2380	1237
658	2382	1232
659	2386	1229
660	2389	1225
661	2391	1220
662	2392	1216
663	2394	1211
664	2396	1207
665	2399	1203
666	2403	1199
667	2405	1195
668	2407	1191
669	2409	1186
670	2419	1186
671	2422	1182
672	2461	1195
673	2467	1193
674	2469	1189
675	2472	1185
676	2474	1180
677	2479	1177
678	2483	1174
679	2485	1169
680	2487	1165
681	2490	1161
682	2494	1157
683	2498	1154
684	2501	1150
685	2503	1146
686	2506	1141
687	2511	1139
688	2516	1135
689	2518	1131
690	2521	1127
691	2524	1123
692	2528	1120
693	2532	1116
694	2535	1112
695	2539	1109
696	2543	1105
697	2545	1101
698	2547	1097
699	2550	1093
700	2552	1088
701	2557	1085
702	2560	1081
703	2562	1077
704	2564	1073
705	2566	1068
706	2571	1065
707	2575	1062
708	2578	1058
709	2580	1054
710	2582	1049
711	2586	1046
712	2589	1042
713	2592	1038
714	2594	1034
715	2596	1029
716	2598	1025
717	2601	1021
718	2604	1017
719	2606	1013
720	2607	1009
721	2609	1004
722	2611	1000
723	2613	996
724	2616	992
725	2620	989
726	2622	984
727	2624	980
728	2626	976
729	2628	972
730	2631	968
731	2634	964
732	2637	960
733	2639	956
734	2641	952
735	2643	948
736	2647	944
737	2651	941
738	2654	937
739	2656	933
740	2658	929
741	2660	924
742	2663	921
743	2666	917
744	2669	913
745	2671	909
746	2674	905
747	2676	901
748	2679	897
749	2682	894
750	2684	890
751	2687	886
752	2690	882
753	2693	878
754	2696	875
755	2698	871
756	2700	866
757	2702	862
758	2706	859
759	2712	856
760	2715	852
761	2717	848
762	2719	844
763	2723	841
764	2726	837
765	2728	833
766	2731	829
767	2733	825
768	2735	821
769	2739	818
770	2742	814
771	2744	810
772	2747	806
773	2749	802
774	2751	798
775	2753	794
776	2758	791
777	2761	787
778	2762	783
779	2764	779
780	2766	775
781	2769	772
782	2772	768
783	2775	764
784	2777	760
785	2779	756
786	2780	752
787	2782	748
788	2785	744
789	2787	741
790	2790	737
791	2791	733
792	2793	729
793	2795	725
794	2796	721
795	2798	717
796	2803	714
797	2805	710
798	2807	706
799	2809	702
800	2811	698
801	2812	694
802	2815	690
803	2818	687
804	2820	683
805	2821	679
806	2823	675
807	2825	671
808	2827	667
809	2830	663
810	2832	660
811	2834	656
812	2838	652
813	2846	650
814	2848	646
815	2851	642
816	2853	639
817	2855	635
818	2861	632
819	2864	628
820	2866	625
821	2868	621
822	2870	617
823	2874	614
824	2878	610
825	2880	606
826	2882	602
827	2884	599
828	2886	595
829	2889	591
830	2892	588
831	2894	584
832	2896	580
833	2898	577
834	2900	573
835	2904	569
836	2908	566
837	2910	562
838	2913	559
839	2914	555
840	2917	551
841	2951	553
842	2994	557
843	3004	555
844	3021	554
845	3038	553
846	3040	549
847	3042	545
848	3044	541
849	3047	537
850	3051	534
851	3053	530
852	3054	526
853	3056	522
854	3058	518
855	3062	515
856	3065	511
857	3067	507
858	3069	503
859	3071	500
860	3073	496
861	3077	492
862	3081	489
863	3084	485
864	3086	481
865	3087	477
866	3089	473
867	3094	470
868	3096	466
869	3098	463
870	3101	459
871	3102	455
872	3107	452
873	3110	448
874	3127	446
875	3129	443
876	3131	439
877	3134	435
878	3136	431
879	3139	428
880	3142	424
881	3144	420
882	3147	417
883	3149	413
884	3151	409
885	3156	406
886	3158	402
887	3160	398
888	3162	394
889	3164	391
890	3166	387
891	3169	383
892	3173	380
893	3175	376
894	3176	372
895	3178	368
896	3180	365
897	3181	361
898	3183	357
899	3187	354
900	3189	350
901	3190	346
902	3192	342
903	3194	339
904	3196	335
905	3197	331
906	3201	328
907	3203	324
908	3205	320
909	3207	317
910	3208	313
911	3210	309
912	3212	306
913	3216	302
914	3220	299
915	3222	295
916	3223	291
917	3225	288
918	3227	284
919	3232	281
920	3237	277
921	3240	274
922	3242	270
923	3244	266
924	3247	263
925	3249	259
926	3251	256
927	3253	252
928	3255	248
929	3257	245
930	3258	241
931	3261	237
932	3264	234
933	3266	230
934	3268	227
935	3271	223
936	3272	220
937	3275	216
938	3277	212
939	3279	209
940	3281	205
941	3283	202
942	3286	198
943	3288	195
944	3290	191
945	3293	187
946	3295	184
947	3296	180
948	3300	177
949	3302	173
950	3306	170
951	3309	166
952	3311	163
953	3313	159
954	3314	156
955	3317	152
956	3319	149
957	3323	145
958	3326	142
959	3327	138
960	3329	135
961	3332	131
962	3336	128
963	3341	124
964	3370	122
965	3389	119
966	3407	116
967	3420	113
968	3437	109
969	3458	106
970	3479	103
971	3506	101
972	3517	97
973	3519	93
974	3522	90
975	3525	86
976	3534	83
977	3536	79
978	3539	75
979	3540	72
980	3545	68
981	3547	65
982	3551	61
983	3553	57
984	3555	54
985	3557	50
986	3560	46
987	3562	43
988	3564	39
989	3569	36
990	3573	32
991	3577	28
992	3578	25
993	3581	21
994	3582	18
995	3584	14
996	3586	10
997	3588	7
998	3592	3
999	3594	0
